,watershed_id,name,official_id,centroid_lat_deg_n,centroid_lon_deg_e,drainage_area_km2,drainage_area_gsim_km2,flag_gsim_boundaries,flag_artificial_boundaries,elevation_m,slope_deg,gravelius,perimeter,flag_shape_extraction,aspect_deg,flag_terrain_extraction,land_use_forest_frac_2010,land_use_grass_frac_2010,land_use_wetland_frac_2010,land_use_water_frac_2010,land_use_urban_frac_2010,land_use_shrubs_frac_2010,land_use_crops_frac_2010,land_use_snow_ice_frac_2010,flag_land_use_extraction,logk_ice_x100,porosity_x100,flag_subsoil_extraction,year_from,year_to,record_length,agency,status,updated_official_basin,prcp,tmin,tmax,vp,swe,srad,high_prcp_freq,low_prcp_freq,high_prcp_duration,low_prcp_duration
20,1905,CHATAWAY CREEK NEAR THE MOUTH,08LG066,50.33111,-120.9231,32.2,,False,True,1382.8,5.4548,,,False,243.6981,True,12.5,81.25,0.0,0.0,0.0,6.25,0.0,0.0,True,,,False,1984,1998,15,WSC,D,False,468,-3.662,8.119,455.422,94.719,292.341,6,75,1.0,4.97
21,14244,EF HOBO C NR PETERSBURG AK,15087500,56.7935403,-132.8747734,1.1655,,False,True,49.2,6.9504,,,False,60.8757,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,False,2003,2008,5,USGS,D,False,2756,2.759,9.386,801.003,41.903,157.248,2,38,1.0,2.8
22,912,THREEPOINT CREEK NEAR MILLARVILLE,05BL013,50.77113,-114.2787,507.2165,,False,False,1496.7,8.4834,1.5732,124.776,True,102.8336,True,61.260000000000005,3.2300000000000004,0.03,0.19,1.8499999999999999,7.829999999999999,25.619999999999997,0.0,True,-1580.0,20.0,True,2012,2021,10,WSC,A,False,625,-3.954,8.972,514.686,84.404,282.727,6,74,1.006,5.409
23,1385,PEMBINA RIVER BELOW PADDY CREEK,07BA001,53.1282,-115.3266,2896.5493,,False,False,1123.7,2.9155,2.2337,422.977,True,73.1608,True,85.38,3.19,0.51,1.13,2.18,7.19,0.44,0.0,True,-1530.0,20.0,True,1994,2021,28,WSC,A,False,609,-4.464,8.789,504.811,87.547,258.932,5,71,1.011,4.679
24,1805,WEST ROAD RIVER NEAR CINEMA,08KG001,53.30642,-122.8918,12429.7998,,False,False,1163.2,4.3981,2.2951,900.304,True,40.4092,True,68.33,16.669999999999998,0.01,1.92,0.31,12.57,0.18,0.0,True,-1270.0,10.0,True,2011,2021,11,WSC,A,False,619,-4.696,8.334,467.447,159.54,273.91,5,66,1.0,3.895
25,1788,WILLOW RIVER AT WELLS,08KD002,53.10222,-121.5694,50.0,,False,True,1363.9,12.1928,,,False,37.1021,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,False,1938,1975,8,WSC,D,False,1042,-4.606,6.364,500.062,294.222,270.247,3,55,1.0,3.005
26,926,RED DEER RIVER BELOW BURNT TIMBER CREEK,05CA009,51.64625,-115.0192,2245.7028,,False,False,2046.8,17.0376,1.636,272.889,True,100.3047,True,52.019999999999996,40.660000000000004,0.4,0.5599999999999999,0.33999999999999997,4.58,0.0,1.43,True,-1530.0,20.0,True,2012,2021,10,WSC,A,False,777,-7.073,4.612,422.179,236.847,293.609,5,67,1.01,4.313
27,1354,BERLAND RIVER NEAR THE MOUTH,07AC007,54.01327,-116.9634,5655.0116,,False,False,1412.9,7.7069,1.8194,481.428,True,83.9623,True,80.42,10.0,0.29,0.6799999999999999,1.02,7.580000000000001,0.0,0.02,True,-1530.0,20.0,True,2012,2022,9,WSC,A,False,623,-5.811,7.539,455.817,108.843,260.469,5,70,1.062,4.605
28,1701,BINGS CREEK NEAR DUNCAN,08HA008,48.78472,-123.7417,14.8,,False,True,67.9,2.6977,,,False,103.7644,True,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,True,,,False,1952,1955,4,WSC,D,False,1590,5.468,14.074,893.755,15.423,248.337,5,55,1.0,4.065
29,11165,"OLSEN CREEK NEAR BELLINGHAM, WA",12202300,48.7512221,-122.3534976,9.7901,,False,False,549.5,15.4019,1.418,15.748,True,274.228,True,87.55,5.06,0.2,0.0,2.41,4.78,0.0,0.0,True,-1520.0,20.0,True,1967,2023,56,USGS,A,False,2001,4.149,12.045,863.012,25.535,239.921,3,54,1.0,3.83
30,905,ELBOW RIVER AT BRAGG CREEK,05BJ004,50.94893,-114.571,790.8277,,False,False,1938.4,17.7042,1.6349,161.907,True,89.8405,True,59.68,32.78,0.04,0.6,0.89,5.24,0.66,0.1,True,-1540.0,20.0,True,2012,2022,9,WSC,A,False,812,-5.916,6.411,461.743,207.669,294.908,6,71,1.033,4.813
31,1511,WAPITI RIVER NEAR GRANDE PRAIRIE,07GE001,55.07125,-118.8029,11261.0192,,False,False,1097.9,6.774,1.7246,644.158,True,69.3042,True,69.03,5.76,0.38,1.26,1.3,9.59,12.509999999999998,0.16999999999999998,True,-1470.0,20.0,True,2012,2022,10,WSC,A,False,614,-4.406,7.478,503.396,129.292,245.98,5,70,1.048,4.653
32,1837,NORTH THOMPSON RIVER NEAR BARRIERE,08LB022,51.18611,-120.1514,17700.0,17773.64,True,False,1380.3,14.088,2.2216,1037.447,True,250.7467,True,68.97,9.92,0.13999999999999999,3.9,0.61,10.620000000000001,0.73,5.11,True,-1390.0,10.0,True,1915,1959,45,WSC,D,False,1063,-3.831,7.562,525.753,308.865,274.564,3,56,1.006,3.047
33,2181,TUTSHI RIVER AT OUTLET OF TUTSHI LAKE,09AA013,59.94778,-134.3325,989.396,,False,False,1234.0,16.334,2.0108,224.118,True,47.6001,True,36.67,46.489999999999995,0.01,7.17,0.25,6.45,0.0,2.96,True,-1390.0,10.0,True,2011,2019,9,WSC,A,False,1009,-7.568,1.291,402.363,451.477,216.214,5,65,1.021,4.021
34,2137,PASAYTEN RIVER ABOVE CALCITE CREEK,08NL069,49.09893,-120.5794,565.807,,False,False,1734.2,17.9275,1.7212,144.437,True,335.4279,True,54.44,23.56,0.43,0.2,0.0,21.36,0.0,0.0,True,-1460.0,10.0,True,2011,2021,11,WSC,A,False,1054,-2.38,7.31,511.596,382.483,322.267,5,65,1.0,4.361
35,14254,TAKATZ C AT TAKATZ LAKE OUTLET NR BARANOF AK,15099900,57.1310482,-134.8875862,27.9717,,False,True,449.1,26.3886,,,False,102.8471,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,False,2008,2016,8,USGS,D,False,4351,-0.564,6.766,652.971,588.517,193.664,1,35,0.938,2.683
36,1384,SAKWATAMAU RIVER NEAR WHITECOURT,07AH003,54.20144,-115.7789,1145.0613,,False,False,968.2,2.8424,1.4588,173.728,True,192.3079,True,64.14,8.12,0.37,0.74,1.69,24.94,0.0,0.0,True,-1520.0,20.0,True,2012,2021,9,WSC,A,False,613,-3.983,7.771,535.42,100.566,244.98,6,72,1.022,5.045
37,961,ALKALI CREEK NEAR THE MOUTH,05CK005,50.89896,-110.508,589.8475,,False,False,775.7,1.224,1.9285,164.898,True,196.2099,True,0.01,47.52,0.02,2.12,1.55,0.05,48.730000000000004,0.0,True,-1610.0000000000002,10.0,True,2012,2022,11,WSC,A,False,326,-2.663,10.355,520.701,30.966,272.425,7,83,1.0,7.564
38,14252,SASHIN C NR BIG PORT WALTER AK,15093400,56.3751833,-134.6628775,9.6347,,False,True,101.7,12.7574,,,False,62.5912,True,0.0,42.86,0.0,0.0,0.0,0.0,0.0,0.0,True,,,False,1965,1980,15,USGS,D,False,4276,3.688,9.869,837.314,15.653,167.354,2,34,0.99,2.77
39,2084,HARROP CREEK NEAR HARROP,08NJ027,49.59472,-117.0589,42.2,,False,True,906.5,16.3594,,,False,23.0675,True,0.0,25.0,0.0,0.0,31.25,43.75,0.0,0.0,True,,,False,1922,1994,27,WSC,D,False,1606,-1.746,7.939,624.361,396.593,281.635,4,56,1.05,3.42
40,1638,TELKWA RIVER BELOW TSAI CREEK,08EE020,54.60694,-127.4969,367.053,,False,False,1353.7,18.8879,1.8826,126.943,True,159.2642,True,63.55,22.66,0.0,0.42,0.02,3.74,0.0,9.610000000000001,True,-1290.0,10.0,True,2011,2022,12,WSC,A,False,1375,-2.812,5.003,567.566,265.12,224.657,4,52,1.123,3.235
41,1877,FOWLER CREEK AT 640 M CONTOUR,08LE096,50.52361,-119.3853,15.8,,False,True,723.9,10.626,,,False,101.3965,True,64.29,0.0,0.0,0.0,0.0,28.57,7.140000000000001,0.0,True,,,False,1974,1986,8,WSC,D,False,735,-0.91,9.188,615.983,141.638,273.277,4,64,1.0,3.544
42,2046,MATHER CREEK BELOW HOULE CREEK,08NG076,49.71366,-115.8967,135.423,,False,False,1633.8,14.2673,1.6151,66.241,True,119.799,True,72.36,16.59,1.1400000000000001,0.2,0.0,9.68,0.0,0.03,True,-1400.0,10.0,True,2011,2021,11,WSC,A,False,634,-2.337,7.739,575.488,135.734,282.522,6,70,1.0,4.292
43,1821,HORSEFLY RIVER ABOVE QUESNEL LAKE,08KH031,52.44431,-121.4181,2758.4299,,False,False,1235.3,10.6214,1.8195,336.266,True,336.7712,True,73.06,9.87,0.03,4.9399999999999995,0.44999999999999996,9.569999999999999,1.78,0.3,True,-1420.0,10.0,True,2011,2022,12,WSC,A,False,827,-3.558,8.266,526.188,190.132,267.145,4,61,1.0,3.248
44,11111,"CHELAN RIVER AT CHELAN, WA",12452500,48.1734342,-122.0693048,119.6569,,False,False,422.8,12.7788,1.3922,53.7,True,288.0065,True,69.54,5.0,1.34,0.35000000000000003,5.510000000000001,15.49,2.76,0.0,True,-1390.0,10.0,True,1903,2023,120,USGS,A,False,1211,0.229,10.191,577.369,298.844,300.444,6,69,1.085,6.053
45,918,TRAP CREEK NEAR LONGVIEW,05BL027,50.47732,-114.4263,137.3616,,False,False,1865.2,16.8433,1.578,65.145,True,107.6553,True,53.99,33.900000000000006,0.05,0.03,0.0,9.81,2.21,0.01,True,-1540.0,20.0,True,2012,2021,9,WSC,A,False,734,-5.189,6.375,483.934,161.914,291.637,6,72,1.005,5.006
46,14227,THREEMILE C NR KLAWOCK AK,15081610,55.5346476,-132.9563845,17.1715,,False,True,339.5,18.4421,,,False,266.8963,True,13.33,0.0,0.0,0.0,0.0,86.67,0.0,0.0,True,,,False,1999,2003,4,USGS,D,False,3606,2.14,8.598,764.359,117.558,186.718,1,34,0.906,2.794
47,1683,CHEAKAMUS RIVER ABOVE MILLAR CREEK,08GA072,50.07991,-123.0356,297.076,,False,False,1612.6,23.3195,1.5792,95.915,True,11.6764,True,45.62,16.68,0.0,2.31,0.06999999999999999,5.06,0.0,30.259999999999998,True,-1430.0,10.0,True,2011,2021,11,WSC,A,False,1956,-1.264,6.099,608.625,413.165,266.873,4,54,1.0,3.546
48,1625,NANIKA RIVER AT OUTLET OF KIDPRICE LAKE,08ED001,53.93033,-127.4517,731.915,,False,False,1306.8,14.8,1.7894,170.34,True,63.2063,True,58.28,23.14,0.0,6.68,0.0,3.93,0.0,7.969999999999999,True,-1320.0,10.0,True,2011,2022,12,WSC,A,False,2301,-2.671,4.781,574.111,627.132,238.305,3,46,1.012,2.981
49,1909,TASEKO RIVER AT OUTLET OF TASEKO LAKES,08MA003,51.379,-123.6312,1523.28,,False,False,2002.8,18.7335,1.784,245.14,True,27.6589,True,36.97,36.059999999999995,0.0,3.51,0.0,2.5700000000000003,0.0,20.89,True,-1360.0,10.0,True,2011,2021,11,WSC,A,False,987,-6.757,4.748,394.266,586.72,322.364,5,66,1.032,4.196
50,2038,KOOTENAY RIVER AT NEWGATE,08NG042,49.01444,-115.1742,20000.0,20305.1,True,False,1697.0,19.4382,2.3327,1161.364,True,192.9157,True,65.88000000000001,21.88,0.38,1.15,1.04,7.5200000000000005,0.41000000000000003,1.7500000000000002,True,-1300.0,10.0,True,1930,1972,43,WSC,D,False,820,-3.506,7.228,537.277,197.489,284.734,5,67,1.006,3.983
51,2242,KECHIKA RIVER ABOVE BOYA CREEK,10BB002,59.09833,-127.5339,11200.0,10450.11,True,False,1416.6,18.4942,2.398,900.355,True,12.0351,True,57.47,29.099999999999998,0.01,1.23,0.0,10.82,0.0,1.3599999999999999,True,-1420.0,10.0,True,1967,1994,28,WSC,D,False,713,-8.313,3.281,406.43,203.708,222.558,5,66,1.078,4.122
52,2164,TRAPPING CREEK AT 1220 M CONTOUR,08NN020,49.66667,-118.9097,22.8,,False,True,1298.5,6.3683,,,False,185.5616,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,False,1970,1981,12,WSC,D,False,849,-5.159,7.756,469.632,285.048,329.229,5,65,1.0,3.944
53,872,BELLY RIVER (NORTH BRANCH) AT INTERNATIONAL BOUNDARY,05AD033,48.98889,-113.7639,25.1,,False,True,1934.9,25.8097,,,False,24.1986,True,81.25,0.0,0.0,0.0,0.0,18.75,0.0,0.0,True,,,False,1947,1955,9,WSC,D,False,1466,-3.787,5.791,542.42,444.415,303.258,5,67,1.019,4.226
54,1386,RAT CREEK NEAR CYNTHIA,07BA002,53.1383,-115.4889,606.1209,,False,False,974.3,1.6185,1.566,135.653,True,101.7918,True,86.24000000000001,1.9300000000000002,0.25,0.91,2.25,8.42,0.0,0.0,True,-1520.0,20.0,True,2012,2021,9,WSC,A,False,604,-4.036,9.14,525.609,87.859,255.127,5,71,1.021,4.718
55,1500,YOUNG DRAINAGE PROJECT NEAR SPIRIT RIVER,07FD913,55.81222,-118.7936,31.6,,False,True,592.1,0.3261,,,False,67.6177,True,0.0,0.0,0.0,37.5,0.0,0.0,62.5,0.0,True,,,False,1982,2009,28,WSC,D,False,414,-3.826,8.32,511.191,84.629,235.359,6,75,1.0,5.382
56,1784,SALMON RIVER NEAR PRINCE GEORGE,08KC001,54.09642,-122.6799,4232.6699,,False,False,848.5,3.4494,2.3339,534.376,True,101.4972,True,80.73,5.28,0.09,4.65,0.58,8.44,0.21,0.03,True,-1430.0,10.0,True,2011,2022,12,WSC,A,False,684,-2.539,8.371,568.611,132.167,244.526,4,61,1.0,3.32
57,1863,TAPPEN CREEK NEAR TAPPEN,08LE041,50.78389,-119.3486,26.9,,False,True,564.6,11.0561,,,False,85.3645,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,False,1923,1985,15,WSC,D,False,784,-0.161,10.136,654.12,130.166,255.787,4,63,1.0,3.554
58,2143,SHINGLE CREEK ABOVE KALEDEN DIVERSION,08NM038,49.51028,-119.795,44.8,,False,True,1025.8,11.4861,,,False,102.918,True,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,False,1920,1977,22,WSC,D,False,563,-1.288,8.28,576.035,102.229,279.646,5,70,1.0,4.444
59,919,WEST ARROWWOOD CREEK NEAR ARROWWOOD,05BM014,50.76404,-113.2363,776.4512,,False,False,1014.5,0.9181,1.4198,139.348,True,347.2712,True,0.38,3.2,0.13,1.4000000000000001,3.32,0.62,90.95,0.0,True,-1520.0,20.0,True,2012,2021,10,WSC,A,False,410,-2.014,11.337,552.19,33.596,277.053,6,79,1.0,6.251
60,1390,LITTLE PADDLE RIVER NEAR MAYERTHORPE,07BB005,53.94799,-115.0236,295.0804,,False,False,785.2,1.7259,1.3187,79.711,True,101.1099,True,51.17,0.61,0.13999999999999999,0.19,4.06,5.75,38.080000000000005,0.0,True,-1520.0,20.0,True,2012,2021,8,WSC,A,False,547,-3.761,8.937,539.375,81.178,245.495,5,72,1.003,4.896
61,14255,TAKATZ C NR BARANOF AK,15100000,57.1427162,-134.8656418,45.3246,,False,True,361.3,24.7761,,,False,92.0359,True,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,False,1951,2016,65,USGS,D,False,4203,-0.106,7.068,671.378,490.474,190.446,1,35,0.944,2.685
62,1663,KITIMAT RIVER BELOW HIRSCH CREEK,08FF001,54.04872,-128.6905,1993.88,,False,False,829.6,21.9405,1.6071,252.527,True,281.1525,True,71.81,12.42,0.0,1.25,0.26,7.359999999999999,0.0,6.9,True,-1370.0,0.0,True,2011,2022,12,WSC,A,False,2417,-0.083,7.276,675.96,304.257,209.747,3,43,1.011,2.925
63,14197,LONG R AB LONG LK NR JUNEAU AK,15031000,58.18189797,-133.8867403,21.4709,,False,True,779.3,30.4278,,,False,119.6251,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False,1965,1975,10,USGS,D,False,4341,-3.595,4.582,550.615,1323.186,207.366,1,37,0.774,2.843
64,1519,ROCKY CREEK NEAR VALLEYVIEW,07GF006,54.93472,-117.7764,18.6,,False,True,692.9,2.2624,,,False,236.6373,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,False,1975,1981,5,WSC,D,False,507,-3.627,8.683,531.283,98.142,243.37,5,72,1.048,5.122
65,1647,EXCHAMSIKS RIVER NEAR TERRACE,08EG012,54.36219,-129.3128,369.895,,False,False,877.2,30.603,1.6692,112.984,True,289.3354,True,29.360000000000003,27.089999999999996,0.0,2.13,0.0,21.59,0.0,19.84,True,-1410.0,0.0,True,2011,2021,11,WSC,A,False,2819,0.476,6.927,704.989,276.032,184.814,2,39,1.0,2.735
66,1753,RUSSELL CREEK NEAR THE MOUTH,08HF007,50.32472,-126.4194,32.6,,False,True,470.9,13.9771,,,False,253.8227,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,False,1992,1998,7,WSC,D,False,2987,0.643,10.146,709.853,811.285,249.625,3,46,1.0,3.4
67,14263,WF INDIAN R NR TENAKEE AK,15107910,57.8657679,-135.327059,7.8217,,False,True,323.9,18.7834,,,False,158.6552,True,31.25,0.0,0.0,0.0,0.0,68.75,0.0,0.0,True,,,False,1979,1981,2,USGS,D,False,3362,0.149,7.095,677.147,282.561,189.914,1,37,0.933,2.744
68,14268,PETERSON C BL NF NR AUKE BAY AK,15109048,58.2830018,-134.6667836,11.2146,,False,True,43.4,4.1519,,,False,282.8131,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,False,1998,2004,6,USGS,D,False,2145,2.151,8.753,774.426,55.852,163.395,2,38,1.0,2.9
69,917,PEKISKO CREEK NEAR LONGVIEW,05BL023,50.47409,-114.2073,231.9249,,False,False,1536.5,8.3528,1.8751,100.591,True,90.561,True,41.660000000000004,28.12,0.02,0.33999999999999997,0.65,16.919999999999998,12.3,0.0,True,-1580.0,20.0,True,2012,2021,8,WSC,A,False,618,-3.75,8.582,523.169,90.475,283.541,6,73,1.01,5.195
70,14235,VIRGINIA C NR KASAAN AK,15085400,55.430194,-132.4336247,7.9771,,False,True,38.2,4.9199,,,False,200.1237,True,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,True,,,False,1962,1964,2,USGS,D,False,3009,3.936,10.179,856.457,17.621,180.416,2,35,1.0,2.8
71,14218,PURPLE LK OUTLET NR METLAKATLA AK,15058000,55.09965956,-131.4350125,17.2751,,False,True,287.0,23.8164,,,False,198.8839,True,94.44,0.0,5.56,0.0,0.0,0.0,0.0,0.0,True,,,False,1947,1956,9,USGS,D,False,3354,3.601,9.953,842.446,32.967,181.977,2,36,1.0,2.719
72,1613,LIME CREEK NEAR THE MOUTH,08DB010,55.455,-129.48,39.4,,False,True,240.9,13.3958,,,False,353.4737,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,False,1976,1996,21,WSC,D,False,2117,-0.633,8.205,654.385,272.872,215.526,3,44,1.005,2.833
73,1481,FLATBED CREEK AT KILOMETRE 110 HERITAGE HIGHWAY,07FB009,55.09017,-120.9418,485.701,,False,False,1177.1,6.5228,1.6588,128.687,True,56.2105,True,89.74,3.44,0.13,0.64,0.3,5.76,0.0,0.0,True,-1520.0,20.0,True,2011,2022,12,WSC,A,False,700,-3.736,6.743,538.369,148.557,241.032,6,70,1.064,4.461
74,1812,HORSEFLY RIVER ABOVE MCKINLEY CREEK,08KH010,52.29139,-121.0669,789.84,,False,False,1502.0,18.7661,1.816,179.592,True,318.1639,True,74.8,15.010000000000002,0.09,2.22,0.21,6.67,0.0,1.01,True,-1460.0,10.0,True,2011,2021,11,WSC,A,False,1014,-4.764,6.708,494.591,293.203,276.083,3,59,1.001,3.118
